4. 양을 세다	4.СЧИТАЯ ОВЕЦ
 우리는 우연의 대지를 정처 없이 방황할 수도 있다.	Бывает так, что ни с того ни с сего, без какой-то конкретной цели Судьба забрасывает нас в совершенно чужие края.
	
마치 어떤 식물의 날개 달린 종자가 변덕스런 봄바람에 날려오듯이.	Случайно', - говорим мы тогда.
	Точно так же, мол, капризами весеннего ветра заносит за тридевять земель крылатое семя какого-нибудь растения.
그러나 그와 동시에 우연성 같은 것은 애당초 존재하지 않는다고도 할 수 있 다.	В то же время можно с равной уверенностью утверждать, что никакой 'случайности' не бывает.
	Мы всегда вправе сказать: то, что с нами уже произошло, случилось как незыблемый факт; а то, что до сих пор не произошло, пока не случилось, и с этим тоже трудно поспорить.
	Одним словом, мгновение, в котором мы единственно существуем, постоянно отсекает и отбрасывает назад все, оставляя нам вечный ноль перед носом; и тут уже ни 'случайностям', ни каким-то еще 'вероятностям' просто места не остается.
이미 일어나 버린 일은 아직 명확하게 일어나 버린 일이며, 아직 일어나지 않은 일은 아직 명확하게 일어나지 않은 일이다.	На самом деле, между двумя этими точками зрения нет никакой особенной разницы.
다시 말해서 우리는 배후의 '모든 것'과 눈앞의 '제로'사이에 끼인 순간적인 존재고, 거기에는 우연도 없고 가 능성도 없다는 뜻이다.	Просто здесь (как и при любой конфронтации взглядов) мы имеем два разных названия для одного и того же блюда.
그러나 실제로 그 두 가지 견해 사이에는 별다른 차이가 없다.	Но это все - аллегории.
	С одной стороны (точка зрения А), то, что я решил использовать в рекламе фотографию с пейзажем Хоккайдо - чистейшей воды случайность.
그것은(대개의 대립되는 견해가 그렇듯이) 두 가지의 서로 다른 이름으로 불리우는 똑같은 요 리 같은 것이다.	С другой стороны (точка зрения Б) - никакой случайности нет.
이것은 비유다.	
내가 PR지의 그라비어에 양의 사진을 실은 것은 한 쪽의 관점 (a)에서 보면 우연이고, 다른 쪽 관점 (b)에서 보면 우연이 아니다. (a) 나는 PR지의 그라비어 페이지에 어울리는 사진을 찾고 있었다.	А) Я искал подходящее фото для макета рекламной страницы.
내 책상 서랍에는 우연히 양의 사진이 들어 있었다. 그리고 나는 그 사진을 썼다. 평화 로운 세계의 평화로운 우연. (b) 양의 사진은 책상 서랍 속에서 줄곧 나를 기다리고 있었다.	В ящике стола завалялся снимок хоккайдосской долины с овцами, который я и задействовал. Мирная случайность из мирной, обычной жизни.
그 잡지의 그 라비어에 쓰지 않았다 하더라도, 언젠가 나는 그것을 다른 무엇인가에 썼을 것 이다.	Б) Фотография уже давно дожидалась меня.
생각해 보면, 이 공식은 내가 이제까지 걸어온 인생의 모든 단면에 적용할 수 있을지도 모른다.	Не в том, так в другом макете, выходящем из моих рук, я все равно бы ее использовал.
좀더 훈련하면, 나는 오른손으로 (a)적인 인생을 조종하고, 왼 손으로는 (b)적인 인생을 조종할 수 있게 될지도 모른다.	Подумав, я прихожу к мысли: вероятно, подобная формула применима и для анализа всей моей прожитой жизни в разрезе.
	Возможно даже, если я потренируюсь еще немного, то научусь-таки поддерживать этот баланс: левой рукой - свою жизнь в измерении 'А', правой - свою жизнь в измерении 'Б'...
그러나 이것은 아무래도 좋다.	Впрочем, не все ли равно?
도넛의 구멍과 마찬가지다.	Здесь ведь как с дыркой от бублика.
도넛의 구멍을 공 백으로 받아들이느냐 아니면 존재로 받아들이느냐는 어디까지나 형이상학적인 문제고, 그 때문에 도넛의 맛이 조금이라도 달라지는 것은 아니다.	Скажем ли мы: 'внутри нет ничего', или будем утверждать: 'есть дырка', - все это сплошные абстракции, и вкус бублика от них не изменится.
내 친구가 볼일을 보러 나가 버리자 갑자기 방안이 휑했다. 전기 시계의 바 늘만 소리도 없이 계속 돌아가고 있었다.	Мой напарник ушел по своим делам - и комната неожиданно опустела.
차를 보내기로 한 네 시까지는 아직 시간이 있었고, 해야 할 일은 아무것도 없었다. 옆 작업실도 잠잠했다.	Только стрелка электронных часов описывала бесшумно круг за кругом.
나는 하늘색 소파 위에서 위스키를 마시며, 폭신폭신한 민들레 종자처럼 기분 좋은 에어컨디셔너 바람을 쐬면서 전기 시계의 바늘을 바라보았다.	До четырех, когда за мной должна была приехать машина, оставалось еще порядочно времени, но никакой неотложной работы не было.
전기 시계 를 바라보고 있는 한, 적어도 세상은 계속 움직이고 있었다.	Из конторы за дверью также не доносилось ни звука.
	Потягивая виски на небесно-голубом диване, я медитировал в воздушном потоке кондиционера, как пух одуванчика на ласковом ветерке, и неотрывно следил глазами за стрелкой электронных часов.
그리 대단한 세상 은 아니다로 어쨌든 계속 움직이고는 있는 것이다.	Я видел бегущую стрелку - значит, мир еще продолжал вертеться.
그리고 세상이 계속 움직이 고 있다는 걸 인식하는 한, 나는 존재하고 있었다. 그리 대단한 존재는 아니라 하더라도 나는 존재하고 있었다.	Не такой уж и замечательный мир, но вертеться он все-таки продолжал.
사람이 전기 시 계의 바늘을 통해서만 스스로의 존재를 확인할 수 있다는 게 왠지 기묘한 일 같 았다. 세상에는 또 다른 확인 방법이 반드시 있을 것이다.	А поскольку я осознавал, что мир продолжает вертеться, я по-прежнему жил на свете.
그러나 아무리 생각 해 봐도 적당한 게 떠오르지 않았다.	Не такой уж и замечательной жизнью, но все-таки жил.
나는 단념하고 위스키를 한 모금 더 마셨다. 뜨거운 감촉이 목구멍을 지나 식도의 벽을 따라 제대로 위의 밑바닥으로 내려갔다.	Как странно выходит, подумал я: неужели лишь по стрелкам часов люди могут удостоверяться в том, что они существуют?
	На свете наверняка должны быть и другие способы подобной 'самопроверки'. Однако, как ни пытался я придумать что-то еще, ничего больше в голову не приходило.
창 밖에는 새파란 여름 하늘과 흰 구름이 펼쳐져 있었다. 맑게 갠 하늘이었지만, 왠지 오래 써서 낡은 중고품처럼 보였다.	Я отказался от дальнейших попыток и хлебнул еще виски.
	Горячая волна обожгла горло, прокатилась по стенкам пищевода, добралась, искусно лавируя, до желудка и уже там, наконец, улеглась на самое дно и затихла.
경매에 붙여지기 전에 약용 알코올로 보기 좋게 광낸 중고품 같은 하늘이었 다.	За окном висело густо-синее летнее небо с белыми облаками.
나는 그런 하늘을 위해, 옛날에는 신품이었던 여름 하늘을 위해, 또 한 모 금의 위스키를 마셨다. 나쁘지 않은 스카치 위스키였다.	Красивое небо, но с тем странным, едва уловимым налетом изношенности, какой бывает у подержанной вещи.
	Старое небо, которое лишь снаружи - для товарного вида - протерли медицинским спиртом перед тем, как пускать с молотка.
그리고 그런 하늘도 눈에 익고 나니 그다지 나쁘지 않았다. 점보 제트기가 왼쪽에서 오른쪽으로 천 천히 가로질러 날아가고 있었다.	Вот за это самое небо, которое было новехоньким когда-то давным-давно - я и выпил еще глоток виски.
그것은 반짝반짝 빛나는 딱딱한 껍질로 덮인 벌레처럼 보였다.	Скотч был совсем недурен.
나는 두 잔째의 위스키를 마저 마셨을때, '도대체 왜 내가 여기에 있지?'	Да и небо, когда глаза привыкли к нему, больше не казалось плохим.
라는 의문에 휩싸였다. 대체 나는 무슨 생각을 하고 있었을까?	Слева направо по небесному своду лениво полз реактивный самолет.
양이다. 나는 소파에서 일어나 친구의 책상 위에 있던 그라비어 페이지를 복사한 것을 들고 소파로 돌아왔다.	Его жесткая, поблескивавшая на солнце скорлупа напоминала кокон с личинкой какого-то насекомого.
그리고 위스키 맛이 배어 있는 얼음을 빨아먹으면서 사 진을 20초 가량 뚫어지게 바라보며, 그 사진이 의미하는 것이 무엇인가를 끈기 있게 생각해 보았다.	После второго виски в моей голове червяком зашевелился вопрос: а что это я, собственно, здесь сижу?
사진에는 양 떼와 초원이 찍혀 있었다.	О чем это я, черт побери, все время пытаюсь думать?
홋카이도 특유의 거대한 자작나무다.	Да об овцах же.
	Я привстал с дивана, стянул со стола бумагу с оттиском рекламной страницы - и плюхнулся на место.
	Затем, посасывая кусок льда, сохранившего вкус виски, я добрых двадцать секунд безотрывно разглядывал фотографию и терпеливо пытался обнаружить в ней хоть какой-нибудь скрытый смысл.
근처 치과 집의 현관 옆에서 자라고 있는 것 같은 빈약한 자작나무가 아니다.	На фотографии было изображено стадо овец на лугу.
곰 네 마리가 동시에 발톱을 갈 수 있을 정도로 묵직한 자작나무인 것이다.	По краю луга тянулась березовая роща.
잎 이 우거진 모양새를 보니 계절은 봄 인 듯싶었다. 배경의 산 꼭대기에는 아직 눈이 남아 있었다.	Такие березы-гиганты можно встретить лишь на Хоккайдо.
	Здесь уж не те хилые березки, что посадил возле дома зубной врач у меня по-соседству.
	Об одну ТАКУЮ березищу смогли бы, не толкаясь, поточить когти четыре медведя одновременно.
산 중턱의 골짜기에도 조금 남아 있었다. 아마 4월이나 5월쯤 됐을 것이다.	Судя по густой листве на деревьях, дело было, скорее всего, весной.
눈이 녹아 땅바닥이 질척한 계 절이었다. 하늘은 푸르고(아마 푸르겠지.	На горных вершинах вдали еще оставался снег.
흑백 사진이라서 푸르다는 확신은 가 질 수 없었다.	Значит, где-то апрель или май.
어쩌면 연어 살빛인지도 모른다), 흰 구름은 산 위에 엷고 길게 드리워져 있었다.	Время года, когда земля под снегом размывается в кашу.
	Небо голубое (то есть - наверное, голубое: черно-белая фотография не давала уверенности в его голубизне; кто его знает - может, и ярко-розовое, как рыба лосось).
아무리 생각해 봐도 양 떼가 의미하는 것은 양 떼고 자작나 무숲이 의미하는 것은 자작나무숲이며, 흰 구름이 의미하는 건 흰 구름이었다.	Белые облака стелились тонкими полосами над пиками гор.
	Тут уж, сколько ни напрягай воображение, 'стадо овец' может означать только стадо овец, 'березовая роща' имеет смысл лишь как березовая роща, а 'белые облака' не содержат в себе никакой другой информации, кроме того, что это - облака, и цвет у них белый.
