état	eta	state
copine	kɔpin	girlfriend
nationalité	nationalité	nationality
copain	kɔpɛ̃	boyfriend
les Etats-Unis		the US
froid  (m)	frwa, frwad	cold, adj + noun
fenêtre	f(ə)nɛtr	window
ouvert(e)	uvɛr, ɛrt	open
le vent	 [vɑ̃] 	wind
le pull		sweater
la porte		door
fermer	 [fɛrme] 	to close
le chaud	ʃo	heat
ouvrir		to open
penser	[pɑ̃se] 	to think
nul,e	[nyl] 	
la place	[plas] 	seat, ticket
le séance	 [seɑ̃s] 	showing
le guichet	giʃɛ	counter, ticket office
regarder		watch
le feu	[fø]  	fire, light
plaisanter	 [plɛzɑ̃te] 	to be joking
le packuet		pack
le briquet		lighter
fumer	fym	to smoke
les allumettes		matches
le mal		ache
encore		again
la tête		head
malade		sick
le ventre	vɑ̃tr	stomach
le médicament	medikamɑ̃	medicine
le docteur	dɔktɶr	doctor
commander		to order
végétarien(ne)		vegetarian
le menu	[məny] 	menu
la viande	vjɑ̃d	meat
le poisson	[pwasɔ̃] 	fish
le légume	 [legym] 	vegetable
les toilettes	 [twalɛt]	restroom
là	la	there
les escaliers	[ɛskalje] 	stairs
rez-de-chaussée	redʃose	the first floor
papier	[papje] 	paper
l'ascenseur	[asɑ̃sɶr] 	elevator
le vin	vɛ̃	vine
le rosé	roz	rose
boire	bwar	to drink
le verre	vɛr	glass
le repas	rəpa	meal
la bouteille	butɛj	bottle
adorer	adore	to love
la chanson		song
aimer	eme	to like
l'artiste		artist
détester	detɛste]	to hate
prender		to take
attender		to wait
prêt		ready
faire		to do
demander		to ask
l'appareil photo	[aparɛj] 	camera
to sourire	[surir] 	to smile
voler	vɔle	to steal, to fly
la voiture		car
le métro	metro	metro
écologique		environmentally friendly
le train		train
la pollution		pollution
l'air		air
l'eau		water
l'essence		petrol
trop	trɔ	too
tard	tar	late
l'alcool	alkɔl	alcohol
la bière	bjɛr	bear
l'apéritif		pre-dinner drink
très		very
bientôt	bjɛ̃to	soon
à bientôt	a bjɛ̃to	see you soon
fatigué		tired
combien		how much
coûter 	kute	to cost
le marché		market
payer		to pay
acheter		to buy
entendre		to hear
le bruit	[brɥi]	noise
la peur	[pɶr] 	fear
maintenant	mɛ̃tnɑ̃	now
le courage	kuraʒ	courage
rassurer	rasyre	to reassure
le loup	lu	wolf
le camping	kɑ̃piŋ	camping

enchanté		nice to meet you
bienvenue	bjɛ̃vny	welcome
le prénom 	 [prenɔ̃]	first name
le nom	[nɔ̃] 	second name
dormir	dɔrmir	to sleep
assez		enough
seul		alone
le sommeil	sɔmɛj	sleep
bâiller	[baje] 	to yawn
le lit	li	bed
le repos		rest
enfin	[ɑ̃fɛ̃] 	at list
l'été	ete	summer
aujourd'hui	oʒurdɥi	today
la glace	glas	ice cream
la boule	bul	scoop
la fraise	[frɛz] 	strawberry
le goût		flavour
le marchand de glaces		ice cream man
les vacances		holidays
en retard		late
en avance		early
le bus		bus
le chauffeur		driver
la foule	 [ful] 	crowd
l'homme politique		politician
le mannequin		model
vite	vit	quickly
le calme		quiet
étudier	etydje	to study
déranger		to disturb
dernier		last
minuit		midnight
rester		to stay
midi		noon
partir		to leave
le mal		harm
vraiment	[vrɛmɑ̃] 	really
faire mal		to hurt
la douleur	dulɶr	pain
la blessure	blesyr	injury
se blesser		to hurt oneself
soigner	swaɲe	to cure
le pansement		adhesive bandage
le bouton	butɔ	button
toucher		to touch
le danger		danger
interdit;e	ɛ̃tɛrdi,	forbidden
l'avertissement	[avɛrtismɑ̃] 	warning;m
jouer		to play
le parent	parɑ̃,	parent
obéir à	ɔbeir	to obey
chinois	ʃinwa	Chinese
communiquer	kɔmynike	to communicate
le langue	lɑ̃g	language
prês		near
le quartier		neighbourhood
l'adresse		address, f
a côte de		next to
la campagne		countryside
le besoin	bəzwɛ̃	need
l'endroit		place
aider		to help
par intérêt		out of self-interest
la gaffe	gaf	blunder
la rupture	ryptyr	break-up
la colère	kɔlɛr]	anger
le lait	lɛ	milk
le sucre		
le serveur	sɛrvɶr	waiter
poli, polie	pɔli	polite
la chaise		chair
s'asseoir		to sit down
préparer		to prepare
le spectacle		show
le public		audience
le voleur		thief
le policier		police officer
la blague	 [blag] 	joke
l'avocat		lawyer
le professeur		teacher
le peintre		painter
le pilote		pilot
le médecin		doctor
laisser		to let
le videur		bouncer
mentir		to lie
boîte de nuit		night club
gênant,e		embarrasing
la politess		politeness
les manieres		manner
s'excuser		to apologize
la honte		shame
le rendez-vous		date

le poutboire		tip
fou		crazy
compris		included
la monnaie		change
radin		stingy
généraux		generous
le faim		hunger
la soif		thirsty
sale		dirty
au moins		at least
boire		to drink
se plaindre	plɛ̃dr	to complain
nettoyer	nɛtwaje	to clean
la perte		waste
le temps		time
ca marche		it works
perdu		lost
seul		alone
le désert	( f déserte ) [dezɛr, ɛrt] 	
découragé		discouraged
appeler à l'aide		to call for help
la déclaration		declaration
briser		to break;to smash
la gare	gar	train station
le quai	 [kɛ] 	platform
hier		yesterday
aujourd'ui		today
demain		tomorrow
avant-hier		the day before yesterday
aprés-demain		the day after tomorrow
confondre	[kɔ̃fɔ̃dr] 	to confuse;to mix up
le marriage		
préférer		to prefer
en fait		actually
jus		juice
l'avenue		avenue,f
l'endroit		place;m
le palais		palace

