# Learning language<TAB>source language
@Assimil-like set
Živjo!	Hi!
Ti si novi sodelavec? 	Are you a new colleague? 
Jaz sem Evgenij.	I'm Evgenij.
Me veseli.	I'm glad to meet you.
Mene tudi.	Me too.
Dobrodošel!	Welcome! 
Od kod si? 	Откуда вы? 
Iz Rusije. 	Из России. 
Koliko časa si že v Sloveniji? 	Как давно вы в Словении? 
Šele en teden. 	Всего неделю. 
Kako ti je tukaj? 	Как тебе здесь? 
Greva na kavo? 	Пойдем (вдвоем) по кофе?
Z mlekom	с молоком
Brez sladkorja	без сахара
Dve kavi	Два кофе
Kje je kruh?	Где хлеб?
Še kaj?	Еще что-то?
Tamle, pri mleku	Там, у молока?
trgovina	shop
kruh	bread
Na avtobusu	On the bus
Ali ta avtobus pelje do centra	Этот автобус идет до центра?
Kje moram izstopiti?	Где должен выйти?
Na naslednji postaji	На след. остановке
Si dobro spal?	Хорошо спал?
Se začneva?	Начнем (двое)?
Pride čez dve minuti.	Придет через 2 минуты.
Vedno zamuja?	Часто опаздывает?
zamujati	to be late
Skoraj vedno.	Почти всегда.
Kam greste na kosilo?	Куда идешь на обед?
Greš z nama?	Идешь с нами двумя?
Greš z mano?	Идешь со мной?
Greš z nami?	Идешь с нами?
Kaj boš jedel?	Что будешь есть?
Jaz bom juho	Я буду суп
Jaz bom testenine	Я буду/закажу пасту
Kaj delaš po službi?	Что после работы делаешь?
Potem pa počitek.	Потом на отрых?
Kakšni so načrti za vikend?	Какие планы на выходные?
Še nimam načrtov	Еще нет планов
Dobiva se ob devetih?	Встретимся в 9?
Nimam pojma.	Не имею понятия.
Si že našel stanovanje?	Уже нашел квартиру?
včeraj sem podpisal pogodbo.	вчера подписал контракт.
Čestitam!	Поздравляю!
To je blizu pisarne.	Это близко от офиса.
Peš potrebujem približno deset minut.	Пешком потребуется около 10 минут.
Na Smetanovi ulici	На Сметановой улице.
danes sem se preselil.	сегодне переехал (в квартиру)
Če boste kaj potrebovali, pozvonite.	Если надо что, позвоните (в дверь)
Iščete kaj posebnega?	Ищете что-то специальное?
Tam zadaj, poleg mleka	Там сзади, напротив молока
Na isti polici	На той же полке
Kje imajo jajca?	Где имеются яйца?
Koliko stanejo paradižniki?	Сколько стоят помидоры?
Dajte mi en kilogram.	Дайте 1 кг
Poskušam govoriti vsak dan	Пробую говорить каждый день
mirno	peaceful
Z marmelado ali s čokolado?	С мармеладом или шоколадом?
Enega z marmelado.	Один (круасан) с мармеладом
kdaj gre naslednji avtobus za Ljubljano?	Когда след. автобус на Любльяну
pri vozniku	у водителя
Na avtobusni postaji	На авто остановке
uslužbenka	сотрудник
vozovnica	билет (автобус)
Ob devetih deset	9:10
Si bil že v Ljubljani?	Был уже в Любльяне
Koliko časa potrebujem?	Сколько времени понадобится мне
Kaj pa priporočata?	И что рекомендуете (вы два)?
Kaj pa ti?	Что насчет тебя?
Kako vam lahko pomagam?	Как вам могу помочь?
nekaj proti glavobolu.	что-от от головы
Bom vzel	возьму/куплю (это)
Si pogosto hodil v gore?	Часто ходил в горы?
imaš veliko možnosti	имеешь много возможностей
Pohorje mi je bilo res všeč	Pohorje mi je bilo res všeč.
Si bil prvič v slovenskih gorah?	Was this your first time in the Slovenian mountains?
Presenetilo me je, koliko ljudi hodi v hribe.	I was surprised by how many people go to the mountains.
Saj smo skoraj vsi planinci.	Well, almost all of us are mountaineers.
Nekateri bolj, nekateri manj.	Some more, some less.
Očitno bom moral kupiti boljše čevlje.	Očitno bom moral kupiti boljše čevlje.
To pa zagotovo.	That's for sure.
Saj bo jutri lepše.	Well, It will be better tomorrow.
Spet dež.	Rain again.
Ali tukaj pogosto dežuje?	Does it rain here often?
Jeseni kar pogosto	Quite often in the fall
vreme se hitro spremeni.	The weather changes quickly.
Včeraj je bilo sonce, danes pa dež	Yesterday it was sunny, today it's raining.
Iščem knjigo za učenje slovenščine	I'm looking for a book to learn Slovenian.
Za začetnike?	For beginners?
Katerega priporočate?	Which one do you recommend?
Danes bom malo zamudila	I'm going to be a little late today.
Lahko začneš brez mene	You can start without me.
Po sestanku	After the Meeting
Kako se ti zdi projekt?	What do you think of the project?
Bo pa veliko dela	But it will be a lot of work.
Če bomo sodelovali, ne bo težav	If we cooperate, there will be no problems.
Veselim se	I'm looking forward to it.
Dobil sem obvestilo o paketu.	I got a notification about a package.
Želite odpreti račun?	Do you want to open an account?
Ste že izbrali?	Have you chosen yet?
Opazil sem nekaj zanimivega	I noticed something interesting.
Ljudje se veliko pozdravljajo	People greet each other a lot.
Tudi če se ne poznajo	Even if they don't know each other.
V manjših krajih je to čisto običajno	This is quite common in smaller towns.
Večer s prijatelji	An Evening with Friends
Kako napreduje slovenščina?	How is your Slovenian progressing?
Govoriš že veliko bolje kot prvi teden.	You speak much better than the first week.
Včasih razumem vse, včasih skoraj nič.	Sometimes I understand everything, sometimes almost nothing.
Samo vztrajaj.	Just keep at it.
Čez nekaj mesecev bo veliko lažje.	It will be much easier in a few months.
Pokvarjena žarnica	burned out light bulb
Je kaj narobe?	Is something wrong?
Mislim, da je v hodniku pregorela žarnica.	I think there's a light bulb burned out in the hallway.
v stanovanju vse deluje.	Everything in the apartment works.
Jutri bom prišel pogledat.	I'll come check tomorrow.
Ste se že navadili na Maribor?	Have you gotten used to Maribor yet?
Predvsem je zelo mirno.	Above all, it is very peaceful.
To je eden od razlogov, da živim tukaj.	That's one of the reasons I live here.
Kličem zaradi pralnega stroja.	I'm calling about the washing machine.
Serviser: Potem pridem med deveto in deseto.	Serviceman: Then I'll be there between nine and ten.
Vas bom čakal.	I will wait for you.
Je ta sedež prost?	Is this seat free?
Greste v Ljubljano?	Are you going to Ljubljana?
Poslovno ali zasebno?	Business or private?
Lep izlet vam želim.	Have a nice trip.
Potem pa obvezno pojdimo še na tržnico.	Then we must go to the market.
Potem pa nimamo izbire.	Then we have no choice.
Vsi se nasmehnejo	Everyone smiles
Zamujen avtobus	Missing Bus
Videti si utrujen. Si slabo spal?	You look tired. Did you sleep badly?
Ko sem pogledal vozni red, sem ugotovil, da bi moral čakati skoraj pol ure. 	When I looked at the timetable, I realized that I would have to wait almost half an hour.
Zdelo se mi je hitreje iti peš.	It seemed faster to walk.
No, vsaj malo si se razgibal.	Well, at least you got some exercise.
V stanovanju mi ves čas kaplja pipa.	My apartment has a constant dripping faucet.
Potem boste verjetno potrebovali novo tesnilo.	Then you probably need a new gasket.
Nisem povsem prepričan	I'm not entirely sure
Lastnik je rekel, naj najprej pogledam, ali je mogoče samo nekaj priviti.	The landlord said to see if I could just screw something in first.
Mislim, da bo zadostovalo novo tesnilo.	I think a new gasket will do.
Potem bom poskusil s tem.	Then I'll try that.
Postrezi si.	Угощайтесь сами.
Diši odlično.	Пахнет замечательно.
babičin recept	Рецепт бабушки
skrivnost v dobri jušni osnovi.	Секрет в хорошем бульоне для супа.
z več česna.	С большим количеством чеснока.
doma pripravljamo nekaj podobnega	Мы готовим что-то похожее дома.
Potem boš moral naslednjič kuhati ti.	Тогда вам придется готовить в следующий раз.
Dogovorjeno	Agreed
Pozabil sem prenosnik.	Я забыла свой ноутбук.
Ostal je na kuhinjski mizi.	Left на кухонном столе.
Če hočeš, ga lahko pripeljem.	Могу принести, если хотите.
Bi bilo super, če ti ni odveč.	Было бы здорово, если бы вы не возражали.
Brez skrbi. Tako ali tako grem čez deset minut od doma.	Не волнуйтесь. Я всё равно ухожу из дома через десять минут.
Kako se počutiš po prvem mesecu v Sloveniji?	How do you feel after your first month in Slovenia?
Iskreno? Bolje, kot sem pričakoval.	Honestly? Better than I expected.
Kaj ti je bilo najtežje?	What was the hardest thing for you?
Verjetno to, da na začetku skoraj ničesar nisem razumel, kadar sta se dva Slovenca pogovarjala med seboj.	Probably the fact that at the beginning I could hardly understand anything when (generally) two Slovenians talked to each other.
To je normalno.	That's normal.
Zdaj je precej bolje. 	It's much better now.
Še vedno ne razumem vsega, ampak vsaj sledim pogovoru.	I still don't understand everything, but at least I can follow the conversation.
To je največji korak.	That's the biggest step.
Čez pol leta boš presenečen, koliko boš že znal.	In six months you'll be surprised how much you'll know.
Nepričakovan obisk	An Unexpected Visit
Kdo pa je ob tej uri?	Who's home at this hour?
Upam, da ne motim.	I hope I'm not interrupting.
Kar naprej.	come in / go ahead
Šla sem mimo in sem pomislila, da bi ti lahko prinesla tisto knjigo o Sloveniji, o kateri sva govorila prejšnji teden.	I was just passing by and thought I could bring you that book about Slovenia we were talking about last week.
To pa je prijetno presenečenje.	This is a pleasant surprise.
Si imel kakšne načrte za večer?	Did you have any plans for the evening?
Hotel sem malo brati in se naučiti nekaj novih besed.	I wanted to read a little and learn a few new words.
Potem pa si lahko skuhava čaj.	Then we can make some tea.
nič resnega	nothing serious
Deloma. Poleg tega sem ostal pokonci precej dlje, kot sem nameraval.	Partly. Plus, I stayed up much longer than I intended.
Kaj pa si počel?	What were you doing?
Začel sem gledati eno slovensko serijo in sem popolnoma pozabil na uro.	I started watching a Slovenian series and completely forgot about the clock.
To se zgodi tudi najboljšim.	This happens even to the best.
Letos je bilo vreme ravno pravšnje.	The weather was just right this year.
Potem mi jih dajte kilogram.	Then give me a kilo.
Ne, mislim, da bo to dovolj.	No, I think that will be enough.
Kateri ti je bil najtežji?	Which one was the hardest for you?
Koliko jezikov pravzaprav govoriš?	How many languages do you actually speak?
Težko vprašanje.	A tough question.
Mislim, da slovenščina ni najtežja, je pa precej drugačna, kot sem pričakoval.	I don't think Slovenian is the hardest, but it's quite different than I expected.
Presenetilo me je predvsem to, koliko pomena imajo majhne besede, kot so pa, saj in kar.	What surprised me most was how much meaning small words like pa, saj and kar have.
To pa drži.	That's true.
Brez prevoda	Without Translation
Veš, kaj sem opazil?	You know what I noticed?
Pred nekaj tedni sem poskušal prevesti vsako slovensko besedo v ruščino ali angleščino.	A few weeks ago I tried to translate every Slovenian word into Russian or English.
Včasih kakšno besedo preprosto razumem, ne da bi jo prevedel.	Sometimes I just understand a word without translating it.
Takrat začneš razmišljati v jeziku.	Then you start thinking in the language.
Upam, da je to šele začetek.	I hope this is just the beginning.
Tik pred odhodom	Just Before Leaving
Si pripravljen?	Are you ready?
Samo še jakno vzamem in sem pripravljen.	Только возьму пиджак и готов
Vedno potrebuješ še pet minut.	Тебе всегда требуется еще 5 минут
to poslušam že eno leto.	Слышу это уже один год
vedno je enako	всегда одно и тоже
Pet minut pomeni najmanj petnajst.	5 мин значат по меньшей мере 15
nikamor ne hitiš tako zelo kot v večjih mestih	You never hurry like in big cities
Malo krajše ob straneh, zgoraj pa pustite nekoliko daljše.	A little shorter on the sides, but leave it a little longer on top.
mislim, da mi je tisto kar ustrezalo.	I think that's what suited me.
@Tearch Yourself Slovene
Naj ti predstavim	Let me introduce
Vstopi	Come in
je napovedano	forecast told
poslabšanje vremena	weather improvement
Kaj lahko ponudim	What can I offer (for you)
sem slupžbeno	I am on work
@Perunova sekira
roman iz izbirke
uredila	edited (she)
natisneno	printed
izmišlen	imagined
razen	except
ponoči	at night
stresti acc.	to shake smth.
potres	shaking
med inst. in inst.	between A and B (cases)
val 	wave
valovi 	waves
treslja 	shakes
jugozahod 	SW
severovzhod 	NE
pomikati se 	move
pac 	only
določen	special
smer 	direction (f.)
preiskueti 	to explore, investigate
solsticij 	solstice
svetovi 	worlds
zaneseti si move/run away
tirnica	trajectory
rahlo	lightly
podrsati	to slide
meja	distance
posebej	especially
razpoka	crack
borovce	small pine forest
poč 	crack
nabrušen 	sharpen
svilo	silk
bobneč 	v buben udarili
globina	depth
opotekajoče se 	staggering, shaking
skoraj 	almost
nasloniti	to incline, to prop against (wall)
zidec	wall
v rove 	vo rvu
hikati	to hiccup
zavijati se 	zakutat'sya
v bunde 	v pidzhak/palto?
žarka	ray (of light)
bleščeč se  to bright
pocurkan 	covered with sugar
medenjak	pryanik
prosojni	translucent
ustnice 	lips
se riše 	to be drawn
samotna 	lonely
trnmastno 	hard, diligently
tekmuti	to compete
prevlada 	competetion
srecavo 	shining
dotakneti gen. 	to touch smth
kljub (temu) 	despite (this)
nežni 	gentle
dotik 	touch (n)
trzneti 	to be twisted
s kodrastimi lasmi	with curly hair
bakren 	copper colored
odkimati	to shake one's head (to say "no" or express disapproval).
privleči telefon 	to pull out a phone
zmigneti z rameni	to shrug one's shoulders 
odmakne telefon	move the phone away
nikamor 	nowhere (to go)
se sesedi	to slump down / sinks down
preluknjana zračnica	punctured tire/flat tire
skoči pokonci	leap to their feet
z vso težo 	with all its weight/force
obesi nanj 	He/she hangs onto him/it 
ustavi se Golf 	Golf stops
obtolčen 	battered, dented
na tleh 	on the ground
se zdrži 	He/she restrains oneself / holds back
zaščitniško 	protectively
objameti/objemati 	to hug someone
varuška	nanny
zadovoljiti se 	To be satisfied with
pripomniti	to mark, to note
uničiti	to destroy
izkoristiti	to benefit, to use at smb. benefit
podla namena	evil purpose
prigrabite	prisvoit'
polomiti kosti 	to break bones
poškodovati 	to harm
molčiti 	to be calm
medtem ko 	in the meantime ....
v zavetje 	into shelter
uživati 	to enjoy
nezaderžno 	uncontrollably
se zavediti 	to consience, to realize
nocojšnji 	tonight's
prihuljeno 	sneakily
nenadoma 	suddenly
planiti v zavest 	to come to conscience
kinkati v vozičiku	to Dozing off/snoozing in the wheelchair
se pomiriti 	to calm down
srečno se vernite domov	to come back home happily
nakako osoren 	Somewhat harsh/unfriendly
zamahne z roko 	Waves their hand
skomigne z rameni 	shrug their shoulders
je vajena obnašanja 	She is used to the behavior
vrata zaloputnila	Slammed the door
zabrnel motor	make the engine roaring
izmil si acc. 	to wash off smth
čez lice 	Across the cheek
se zlekne v naslanjač 	to deep into an armchair
prešine Evi 	Eve osoznalo
osrkbeti rano 	to treat a wound
njene mušice 	her muscles
se spremeniti v acc. 	to turn into ...
razredčen 	thin, diluted
trdno 	hard, firmly
zgrabil 	to grab, catch
zavzdihneti 	To sigh
baraba	Rascal
se nazburi	Gets upset / angry/ agitated
napol speča	Half-asleep
uboga Evi 	poor Eva
zanjo 	for her
se strdil v beton 	turned into concrete
postojati kot svinec 	to become hard as lead
zazreti 	to stare, to peer
Zlekniti se po kavču 	To stretch out across the couch.
dolžina 	length
vitko telo 	thin body
srkne/srkniti malo čaja 	he takes a sip of tea
smrčanje 	snoring
ura je že pozna 	the hour is already late
pogrkavati 	to clean the throat
plaziti 	to crawl
ježi koža 	Gets goosebumps
zagrne zavese 	pulls the curtains
sede na stol 	sit on the chair
položi svojo dlan 	put his/her palm/hand
čim manj ve 	Knows as little as possible
Čim prej 	ASAP
Čim hitreje  	as fast as possible
Čim prideš, me pokliči	Call me as soon as you arrive
natančno 	exactly
po spregovorila 	After she speaks / spoke
preostanek 	remainder
krčavit kašl 	convulsive cough/a fit of cough
izpostavlena	Exposed (to danger, views)
poseduje sposobnosti 	Possesses the abilities
zavohal dar 	Smelled the gift/talent
nudila informacije 	Offered information
očitajoče	Reproachfully
črne pike 	black dots
prebudilo dedka 	woke up grandfather
okoli vogala 	Around the corner (street or building)
zastruga zvok	A scraping sound
vsi se zdrznejo 	They all shudder / jerk
vsi prisluškujejo 	Everyone is listening in
odneslo v preteklost 	Carried [someone] back into the past
razlaga	Explanation
namigi 	hints/clues/tips
sluteči 	suspecting/sensing
izneveril 	let down, betrayed
zapustiti 	to leave, to abandon
izjemno 	exceptional, extraordinary
povezovalec 	host, coordinator
zazre se 	gazes, stares
vlada v sobi 	regins in the room
umakne pogled 	looks away, avert their eyes
se skrili 	hid
počitnice 	vacation, holidays
pojutrešnem 	day after tomorrow
predvčerajšnjim 	day before yesterday
Držali jo bomo doma 	we will keep here at home
zaškrta z zobmi 	grinds their teeth
se sliši strašljivo	sounds scary
sluzavec 	slug, creep, disgusting pe
izblebeta 	to blab out
se smehlja 	to smile gently 	
obesek 	pendant
si seže 	reaches for (into pocket e.g.)
podoba 	image, likeness
naporen 	demanding, tiring
se preplete 	intertwines, overlaps
odvija z zapestja 	unwraps from the wrist 	
prepotreben 	much needed
uklenila 	shackled
dovolj za spredah 	enough to relax
@Napihnjenci subtitles
Podnapis urejen za yyy.com		Subtitle(s) edited for yyy.com
PRED 20-IMI LETI	20 years ago
Kaj sem pravkar rekel?	What did just I say?
Tako lahko hitro izgubiš oko, prijatelj 	You can lose an eye that quickly, my friend.
Kaj se dogaja tam gor?	What is going on up there?
Nehaj s tem!	Stop it!
Samo preverjam, kaj zmore to letalo.	 I'm just checking what this plane can do.
Ta vreča kosti ne zmore 2 macha.	This bag of bones can't handle Mach 2.
Pritisniti bo treba.	You will have to press.
Izgubljam kontrolo. Izstreli se, Poštar. Pritisni gumb!	I'm losing control. Launch yourself, Postman. Press the button!
Ne morem ven! - Kaj počneš?	I can't get out! - What are you doing?
Bil sem že v težjih situacijah, kot je ta.	I've been in tougher situations than this.
Tam bom pristal. Na tesno bo.	I'll land there. It'll be tight.
Uspelo mi je. Bog obstaja!	I succeeded. God exists.
SEZONA LOVA NA JELENE SE ZAČNE DANES OPOLDAN	DEER HUNTING SEASON STARTS TODAY AT NOON
SEDANJOST	Present
Poznal sem tvojega očeta Buzza.	I knew your father, Buzz.
Do njegove nesreče je bil največji pilot, ki je kadarkoli živel.	Until his accident, he was the greatest pilot who ever lived.
Pogovoriti se morava.	We (both) need to talk.
Vrgli so me ven. Zakaj bi šel nazaj?	They kicked me out. Why would I go back?
Mornarica izvaja strogo zaupno misijo	The Navy is conducting a top-secret mission.
Dajem ti novo možnost, ki je tvoj oče ni nikoli dobil.	I'm giving you a new chance that your father never got.
Najboljši si med najboljšimi	You are the best of the best
Naj se pogovorim s starešino.	Let me talk to the elder.
Kaj naj storim?	Kaj naj storim?
Vedeli smo, da bo ta dan prišel.	We knew this day would come.
Ko boš odsoten, kupi še AA baterije.	When you're away, buy some AA batteries.
OVIRE NA CESTI	OBSTACLES ON THE ROAD
Lepo vas je spet videti, gospod.	It's good to see you again, sir.
Preveč časa je že minilo.	Too much time has passed.
Hudiča, biti bi moral v Kaliforniji.	Damnn it, I should be in California.
No, iti moram. Vso srečo.	Well, I have to go. Good luck.
Predsednik vas je sam izbral.	The President chose you himself.
Presneto res 	Damn it
Zdaj nas ne bo nihče ustavil	Nothing gonna stop us now
Pokazal vam bom pisarno in poročilo.	I'll show you the office and the report.
Dober vojak si, Scott.	You are a good soldier, Scott.
Pokaži mi pot.	Show me the way.
Lulat moram.	I have to pee (childish or colloquial).
Del mehurja so mi odstrelili pri Guadalcanalu	Part of my bladder was shot off at Guadalcanal
