E.A. M. Willson The Modern Russian Dictionary for English Speakers 1984

take aback	опешить, поразиться
abashed	быть смущенным
abate	утихать, ослабивать
abeyance	в рассмотрении
abhorrent	ненавистный
abide	вынести, подчиниться
abject	жалкий
ablaze	в пламени
ably	умело, искусно
abominable	отвратительный 4
abortive	неудачный
abound	изобиловать (не абундант)
aboveboard	открытый честный
abreast	вровень, нога в ногу
abrogate	аннулировать 3
abscond	убегать скрываться
absolve	освобождать от обязательств 3
abstemious	воздержанный over food and drink
abstruse	неясный, малопонятный 5
accession	вступление (на трон, долность), поступление
acclaim	восторгаться
accomplice	соучастник
accost	приставать
account (report(	отчет
accountable	нести ответственность adj
accrue	прирастать (проценты)
acquiesce	уступать
acquit	оправдывать (юр)
acrid	язвительный, ехидный. вкус, запах - едкий
acrimonious	желчный (хар)
acting (director)	и о
adamant	твердый непреклонный
addled	запутавшийся тухлое яйцо
adduce	приводить (док-ва)
adjourn	откладывть
ad lib	экспромтом
adverse	неблагоприятный
adversity	несчастье, беда
adventurous	смелый, предприимчивый. полный приключений
advise	notify
advocate	рекомендовать
affable	любезный
15/03/2019	
adversary	противник
advisable	целесообразный
affectation	притворство жеманство
affected	жеманный, кривляющийся; взволнованный, задетый
affecting	трогательный (сцена)
affection	любовь
affectionate	ласковый нежный
affix	ставить подмись
affluent	rich
afflicted	страдать бол-нью
affliction	недуг несчастье
affront	быть задетым (замечанием)
afoot	что-то готовится
after smt heart	по душе
take after	быть похожим
is after smt	за ним (ищет)
after all	в конце концов
age (old)	старить
aft	astern
aggravate	ухудшить
aghast	ужасать
16.03.2019	
aground	на мели
ailment	недомогание. недуг
akimbo	с расставленными руками подбоченясь
alacrity	readiness
allay	успокаивать 5
all-clear	отбой
allege	claim
allegiance	loyalty
allotment	plot
allowance	пособие
allude	refer
alluring	attractive
amble	walking
antler	horn
anvil	forge
altercation	row quarel
amenable	послушный, сговорчивый; податливый, покорный
amenity	приятность; мягкость; вежливость; любезность
ample	большое кол-во
antenatal	относящийся к утробной жизни; дородовой, пренатальный, предродовой
antics	проделки, выходки
17.03.2019	
apposite	уместный
appreciative	чуткая признательня
apprehensive	волнующийся
apprehend	воспринимать опасаться
apropos	что касается, как раз вовремя
ascribe to	приписывать кому-то
askance	косо подозрительно
askew	косо
asperity	резкость
aspersion	клевета
aspic	студень
assent	согласие
astute	проницательный сообраз-ный
assiduous	прилежный
astride	верхом
atone	загладить искупить
attendant	служащий служитель слуга
aubergine	баклажан
augur	предвещать
austere	суровый строгий
avail	to ~ oneself of smth воспользоваться 
aversion	отвращение
averse	нерасположенный, неохотный;
avowed	нескрываемый
18.03.19	
backbiting	за спиной сплетничать
backchat	дерзкий ответ
backlog	долг, задолженность
badger	изводить, травить дразнить 3
balk	артачиться; упираться
bane	бедствие, бич, проклятие
banister	перила
batty	сумасшедший, тронутый
bawdy	вульгарный, непристойный
bawl	крик во всю глотку
bay	гнедой преследовать, травить
to spill the beans	проболтаться 3
bedridden	прикованный к кровати
befall	произойти случится
befuddled	тот у кого перепутаться в голове
beguile	занимать развлекать обманом уговорить сделать 3
belie	ne opravdat', davat' nevernoe predstablenie 3
bellicose	belligerent
bequeath	завещать
beset	одолевать
besotted	влюблённый, потерявший голову от любви, одержимый, страстный
20.03	
bicker	препирается
bilious	тошнотный (боль)
bigoted	фанатичный
bile	желчь;желчность, вспыльчивость, раздражительность; гнев 4
bilge	днище (судна); давать течь (о судне); чушь 4
blab	выболтать (секрет)
blight	2) насекомые-паразиты (поражающие фруктовые деревья) 3) душная атмосфера (состояние атмосферы с низко нависшими облаками) 4) сыпь (на лице, на коже) 5) то, что разрушает планы, надежды, препятствует процветанию 6) упадок, деградация 34
bole	tree trunk 4
bone-idle	super lazy
boon	1) благо, благодеяние; дар; покровительство Syn: benefit , favour 2) просьба, прошение; мольба Syn: request , petition 2. 1) компанейский, общительный; доброжелательный, приятный 3
bow-legged	кривоногий
box smb's ears	дать затрещину
bran	отруби
brawl	драка потасовка
breadwinner	кормилец
brim	край, переливаться через край
broach	открыть (бочку бутылку)
brunt	1) главный удар, основная сила удара (атаки, нападения) Syn: stress , shock 2) основная тяжесть; бремя 3
brusque	резкий; бесцеремонный
buck	олень-самец, лягаться
budge	двинуться шелохнуться
22.03	
bung	втулка затягивать
bungle	запороть (дело) 234
burp	рыгать
buxom	пышка пышная ж
byway	задворки проселочная дорога
cackle	гогот кудахтанье
cad	негодяй
caddish	негодный
cadge	выудить выпросить
calumny	клевета 5
callow	юный (пренебр) неискушённый, неопытный; 1) неоперившийся, без перьев (о птицах) 
catcall	2) свист, освистывание 2. освистывать
catty	колкий недоброжилательный
chapped	обветренный, потрескавшийся (о коже) 2
chary	1) предусмотрительный, осторожный, действующий с оглядкой 2
cheeseparing	грошовая экономия
chink	трещина звяканте 2
23/03	
chit	записка, 2) долговая расписка;   ребенок
chitchat	chattering
chuck	1) бросать; кидать; швырять  4) дружески похлопывать; щекотать 2) ; = ~ in / up бросить (работу, занятие) ; порвать (с кем-л.)
chug	пропыхтеть протарахтеть
churish	грубый нахальный 23
chute	стремнина 2. 2) крутой скат  I 1. 3) покатый настил; горка (ледяная, деревянная) 4) подводящий канал (для сплава леса) 5) путь рыб, идущих на нерест 6) спуск; лоток, жёлоб, спускной жёлоб Syn: shoot 1. 7) мусоропровод
cinch	верное дело ; 1) = cinch up подтягивать подпругу 2) ставить в безвыходное положение, 235
circuitous	окольный
claimant	претендент
clamber	to clumb (rock)
clammy 	noisy 2
clandestine	secret
claptrap	чепуха
clear-sight	зорький
clink	звякнуть
cobblestone	булыжник
coddle	угождать потакать  23
colander	дуршлаг
25.03	
commend	хвалить рекомендовать
commensurable	соизмеримый
complacent	самодовольный 2
conceited	самодовольный
complaisant	услужливый почтительный 25
composure	самообладание
con	надуть обвести вокруг пальца
conceivable	представимый возможный
concise	краткий
concoct	состряпать (букв и фиг) 5
condescend	нисходить
condiment	приправа
