제3장 1978.9	Часть третья СЕНТЯБРЬ 1978 Г.
	
여름도 끝나 가는  9월의 오후.	
나는 일을 쉬고  침대에서 그녀의 머리카락을 만지작거리면서, 줄곧 고래의 페니스에  대해 생각하고 있었다.	
바다는 짙은 남빛이었고, 거친 바람이 유리창을 두드렸다.	
천장은 높고, 전시실 안에는 나말고는 사람의 그림자라곤  하나도 없었다.	
고래의 페니스는 고래로부터  영원히 분리되어, 페니스로서의 의미를 완전히 상실해 버렸다.	
	
	
1. 고래의 페니스·	1. КИТОВЫЙ ПЕНИС.
세 가지 직업을 가진 여자	ДЕВЧОНКА НА ТРЕХ РАБОТАХ
 여자와 자는 것을 아주 중요한 일이라고 생각할 수도 있고, 반대로 전혀 대수 롭지 않은 일이라고 생각할 수도 있다.	Спать с женщиной: порой я смотрю на это как на нечто большое и серьезное; иногда же, напротив, не вижу в том ничего особенного.
다시 말해서 자기 요양 행위로서 즐기 는 섹스가 있고, 무료한 시간을 때우기 위해 즐기는 섹스가 있다.	Бывает секс как терапия для восстановления сил, а бывает секс от нечего делать.
처음부터 끝까지 자신의 요양을 위한 섹스가 있는가 하면, 처음부터 끝까지 무료한 시간을 때우기 위한 섹스도 있다.	Секс может быть от начала и до конца терапией, как может быть с начала и до конца - от нечего делать.
처음 시작할 때는 자기 요양 행위였 던 섹스가 시간을 때우기 위한 섹스로 끝나는 경우가 있는가 하면, 그 반대의 경우도 있다.	Секс, начавшийся как отменная терапия, вполне может завершиться банальным сексом от нечего делать, равно как и наоборот.
뭐랄까, 우리의 성생활은 고래의 성생활과는 근본적으로 다른 것이 다. 우리는 고래가 아니다-이것은 나의 성생활에 있어서 하나의 중요한 명제다.	Наша половая жизнь - как бы тут лучше выразиться? - в корне отличается от половой жизни китов.
여렸을 때 집에서 자전거로 30분 가량 걸리는 곳에 수족관이 있었다.	Мы не киты - вот один из главных тезисов моей половой жизни.
수족관 은 언제나 섬뜩한 수족관적 침묵에 의해 지배되고 있어서, 가끔 어딘가에서 찰 싹착싹 물 튀기는 소리가 들려 올뿐이었다.	В городе моего детства - тридцать минут на велосипеде от дома - был океанариум.
	Внутри, как в настоящем подводном мире, всегда царила прохлада, и безмолвие лишь изредка прерывалось доносившимся неизвестно откуда тихим плеском воды.
어두컴컴한 복도의 모퉁이에 반어 인(半魚人)이라도 숨을 죽이고 있을 듯한 느낌이었다.	В тусклых сумерках так и слышались из-за углов коридора приглушенные вздохи русалок.
다랑어 떼가 거대한 풀 안에서 빙글빙글 돌고, 용상어는 좁은 수로(水路)를 거 슬러 올라가며, 피라니아는 고깃덩어리를 보고 날카로운 이빨을 드러내고, 전기 뱀장어는 단작스러운 꼬마 전구를 깜빡이고 있었다.	В огромном бассейне кругами ходили стаи тунцов, винтом по водным тоннелям подымались осетры, хищно скалились на куски мяса пираньи, скупо мерцали своими шарами-светильниками электрические угри.
수족관에는 무수히 많은 물고기가 있었다.	Не было счета рыбам в океанариуме.
그들은 제각기 서로 다른 이름과 서로 다른 비늘과 서로 다른 아가미를 가지고 있었다.	Разные названия, разная на вид чешуя, разные по форме жабры.
왜 지구상에 그처럼 많 은 종류의 물고기가 존재해야만 하는지 나는 도무지 이해할 수가 없었다. 물론 수족관에 고래는 없었다.	У меня просто не укладывалось в голове, отчего и зачем у рыб на Земле столько видов.
고래는 너무나 커서 수족관을 부숴 하나의 수 조(水槽)를 만든다 해도, 기를 수가 없는 것이다.	Китов, разумеется, в океанариуме быть не могло.
	Киты слишком большие, их невозможно держать внутри здания: пришлось бы развалить весь океанариум, чтобы соорудить водоем, в который смог бы втиснуться один-единственный кит.
그 대신 수족관에는 고래의 페니스가 있었다. 말하자면 대용품이다.	Взамен самого кита был выставлен его пенис.
그런 이유로, 나는 감수성이 예민한 소년 시절 내내 진짜 고래 대신에 고래의 페니스를 바라보았다.	Как полномочный представитль своего хозяина.
섬뜩한 수족관 같은 통로를 걸어다니는 일에 싫증이 나면, 쥐죽은듯이 고요한 천장이 높은 전 시실의 소파에 앉아 고래의 페니스를 멍하니 바라보며 몇 시간씩 보내곤 했다.	Вот как случилось, что годы самых ярких детских фантазий я провел, созерцая китовый пенис и пытаясь представить кита целиком.
그것은 어떤 때에는 바싹 마른 작은 야자나무처럼 보였고, 어떤 때에는 거대 한 옥수수처럼도 보였다. 만약 거기에 '고래의 생식기·수컷'이라는 팻말이 없 었다면, 아마 아무도 그것이 고래의 페니스라는 사실을 알아차리지 못했을 것이 다.	Нагулявшись по извилистым коридорам океанариума, я приходил в выставочный зал с высоченным потолком, устраивался на диване прямо напротив китового пениса ╜ и сидел так часами.
그것은 남극해(南極海)의 산물이라기 보다는 중앙 아시아의 사막에서 발굴한 유물과도 같은 운치가 있었다.	Иногда он напоминал мне ссохшуюся кокосовую пальму, иногда - гигантский кукурузный початок.
	В одном можно было не сомневаться: если бы не табличка у основания - 'ПОЛОВОЙ ОРГАН КИТА-САМЦА', - ни один посетитель в жизни бы не догадался, что перед ним за штуковина.
그것은 내 페니스와도 달랐고, 내가 그때가지 봤 던 어떤 페니스와도 달랐다. 그리고 거기에는 잘라 낸 페니스 특유의 뭐라고 설명하기 어려운 비애까지 감돌았다.	Он гораздо больше смахивал на реликт, найденный в песках Средней Азии, чем на выходца из глубин Ледовитого Океана.
내가 처음으로 여자아이와 성교를 한 뒤에 머리에 떠올렸던 것도, 그 거대한 고래의 페니스였다.	Не говоря уже о том, что он был совершенно не похож ни на мой собственный пенис, ни на чей-либо из всех виденных мною пенисов.
나는 그것이 어떤 운명을 겪고 어떤 경위를 거쳐서 수족관 의 휑뎅그렁한 전시실로 오게 됐는가를 생각하면 가슴이 아팠다.	Этот одинокий, вырезанный с корнем из тела пенис словно дрейфовал перед моими глазами в волнах какой-то необъяснимой тоски.
거기에는 구 원 같은 것은 전혀 없는 듯한 느낌이었다. 그러나 그때 나는 열 일곱 살이었고, 모든 일에 절망하기에는 너무나 젊은 나이임에 틀림없었다.	И когда я впервые переспал с девчонкой, все, что вертелось в моей голове - это китовый пенис.
그래서 나는 그때 부터 이렇게 생각하게 되었다.	Что за участь постигла его?
우리는 고개가 아니다라고. 나는 잠자리에 누워 새로 사귄 여자 친구의 머리카락을 손가락으로 만지작거 리면서 고래에 대해서 계속 생각하고 있었다.	Какой нелепой волной занесло его под стекло на витрину безлюдного океанариума?' - мучился я.
내 머리 속에 떠오르는 수족관은 언제나 가을이 끝나 갈 무렵의 수족관이었 다. 수조의 유리는 얼음처럼 차가웠고, 나는 두툼한 스웨터를 입고 있었다.	Предчувствие точно такой же глухой обреченности и своей судьбы сжимало мне сердце.
전 시실의 커다란 유리창 너머로 보이는 바다는 푸르스름한 기미가 감도는 짙은 잿 빛이었고, 끊임없이 밀려왔다.	Впрочем, мне было 17 лет - слишком рано, чтобы доводить себя до самоубийства.
잘게 부서지는 하얀 파도는 여자아이들이 입는 원피스의 하얀 레이스 칼라를 연상케 했다.	С тех пор я и приучил себя к спасительной мысли.
뭘 생각해요?'라고 그녀가 물었다.	
옛날 일' 하고 나는 대답했다.	Мы не киты.
	Валяясь в постели с новой подругой, я поигрывал с завитушками ее волос и думал о китовом пенисе.
그녀는 스물한 살로, 호리호리한 매력적인 몸매와 마력적인 만큼 완벽한 모양 의 두 귀를 가지고 있었다.	В океанариуме моего детства всегда царила поздняя осень.
그녀는 작은 출판사의 아르바이트 교정원이면서 귀 만 전문적으로 찍는 광고 모델이었고, 품위 있는 집안 사람들로만 이루어진 조 그만 클럽에 속해 있는 콜 걸이기도 했다.	На стеклянных стенках бассейна, холодных как лед, - отраженья меня в толстом свитере.
	Темно-свинцовое море заглядывало в иллюминатор выставочного зала; барашки бесчисленных волн обегали его по краю, точно белые кружева - воротничок девичьего платья...
그 세 가지 중에 어느 것이 그녀의 본업인지 나는 알 수 없었다.	- О чем думаешь? - спросила она.
그건 그녀 자신도 몰랐다.	- О прошлом, - ответил я.
그러나 어떤 게 본래의 모습인가라는 관점에서 본다면, 귀 전문 모델로서의 그녀가 가장 자연스러운 것 같았다. 나는 그렇게 느꼈고, 그녀도 시인했다.	В двадцать один год у нее были прекрасное стройное тело - и пара дьявольски безупречных ушей.
그 렇지만 귀 전문 광고 모델이 활약할 수 있는 분야는 극히 한정되어 있고, 모델 로서의 지위로 개런티도 아주 형편없이 낮았다.	Днем она правила тексты в небольшом издательстве, работала 'спецмоделью' в рекламе женских ушей, а вечером подрабатывала 'по вызову' в маленьком ночном клубе - очень тихом, 'только для самых своих'.
대개의 광고 대행업자나 카메 라맨, 메이크업 담당자, 잡지 기자는 그녀를 단지 '귀의 소유자'로 취급했다.	Какое из трех занятий считала она основным, мне было неведомо.
귀 이외의 그녀의 육체나 정신은 완전히 묵살되었다.	Как, впрочем, и ей самой.
하지만 사실은 그렇지가 않다구요' 라고 그녀는 말했다. '귀는 내 자신이고, 나는 귀거든요' 그녀는 교정원으로서나 콜 걸로서 일을 할 때에는 한 순간일지라도 절대로 귀 를 남에게 보여 주지 않았다.	И все же, если задаться вопросом, что больше соответствовало ее натуре, то, пожалуй, именно в работе 'ушной моделью' она раскрывалась полнее всего.
왜냐하면 그건 진짜 내가 아니니까요' 라고 그녀는 설명했다.	Так думал я, так казалось и ей самой.
그녀가 속해 있는 콜 걸 클럽의 사무실(일단은 탤런트 클럽이라는 명목으로 되어 있다)은 아카사카(赤坂)에 있었는데, 모두에게 미세스 X라고 불리는 경영자 는 백발의 영국 여자였다.	И это невзирая на то, что, в принципе, 'ушная модель' - крайне ограниченная сфера деятельности, не говоря уже о низком профессиональном статусе и мизерной оплате всех моделей такой узкой специализации.
그녀는 무려 30년 동안이나 일본에 살았기에, 유창하 게 일본어를 구사했고 대부분의 기본적인 한자는 읽을 수 있었다.	Для большинства рекламных агентов, фотографов, гримеров она была просто 'хозяйкой своих ушей'.
미세스 X는 콜 걸 클럽에서 500미터도 떨어지지 않은 가까운 곳에서 여성 전 문 영어 회화 강좌를 열고 있었는데, 거기에서 집안이 꽤 괜찮아 보이는 여자아 이들을 가려내 콜 걸 클럽 쪽으로 스카우트했다.	Все, чем обладала она помимо ушей: тело, душа, характер, - безжалостно вырезалось и выбрасывалось из жизни.
반대로 콜 걸 중에서 몇 명이 영어 회화 교실에 다니기도 했다.	- Ну, не совсем так, - говорила она.
물론 그녀들은 수업료를 조금씩 면제받았다.	- Просто мои уши - это я.
미세스 X는 콜 걸들을 '디어'라 불렀다.	А я - это мои уши.
그녀가 '디어'라고 부르는 목소리에는 봄날 오후와 같은 부드러운 여운이 깃들어 있었다.	Ни на ночных вызовах, ни в издательстве своих ушей она никогда никому не показывала.
깔끔한 레이스가 달린 속옷을 입고 자야 해, 디어.	- Это потому, что я там не настоящая, - объясняла она.
	Офис ее ночного 'клуба знакомств' (официально - 'Клуба талантов') располагался в кварталах Акасака, и заправляла им некая дама, белокурая англичанка, которую все называли 'миссис Икс'.
	Вот уже тридцать лет миссис Икс жила в Японии, бегло говорила по-японски и могла читать большинство основных иероглифов.
	В каких-нибудь пятистах метрах от офиса миссис Икс открыла курсы разговорного английского, откуда и вербовала более или менее подходящие мордашки для работы в клубе.
팬티 스타킹은 안 돼요' 라든가 '너는 홍차에 크림을 넣었었지, 디어?' 하는 식이었다.	В свою очередь, случалось, что сразу несколько девчонок из клуба ходили на курсы английского.
고객은 철저하게 파악되어 있었는데, 고객의 대부분은 40대와 50대의 유복한 사업가들이었다.	Разумеется, за льготную плату со скидкой чуть ли не вполовину.
	Всех девчонок в клубе миссис Икс называла 'dear'. Мягкое и вкрадчивое, словно лучи закатного солнца весной, это ее 'dear' раскатывалось, рассеивалось по разговору.
3분의 2가 외국인이고, 나머지는 일본인이었다.	- Надевай, как положено, чулки с поясом, dear.
미세스 X는 정치가와 노인, 성격 이상자와 가난뱅이는 싫어했다.	Никаких колготок!
나의 새 여자 친구는 한 다스쯤 되는 미인만 모인 콜 걸들 가운데서는 가장 볼품의 없었으며, 옷차림도 평범했다.	Или: - Ты, кажется, пьешь чай со сливками, dear?
사실 귀를 가린 그녀는 지극히 평범한 인 상밖에는 주지 못했다.	Ну и так далее.
	Клиентура для заведения отбиралась и поддерживалась очень тщательно и состояла в основном из зажиточных бизнесменов от 40 до 50 лет.
