# exported_by=ParallelTexts
# source_title=06
# target_title=06-ru
# src_lang=zh
# tgt_lang=ru
# total_pairs=374
source_text	target_text	confidence
第六	ГЛАВА ШЕСТАЯ	0.7156
一	1	0.7934
一大蒲包果子，四张风景像片，没有上款的中堂与对联，半打小洋袜子，张大嫂全副武装来看李太太。	Госпожа Чжан шла к госпоже Ли во всеоружии: она несла пакет с фруктами, четыре фотографии с пейзажами, свитки с изречениями и шесть пар носочков.	0.6317
在大嫂的眼中，李太太是个顶好，一百成的——乡下人儿。	В глазах госпожи Чжан жена Лао Ли была настоящей деревенской женщиной.	0.6439
大嫂对于乡下人，特别是妇女，十二分的原谅怜恤，而且愿尽全力帮助，指导。	А деревенских жителей, особенно женщин, госпожа Чжан извиняла, жалела и всячески старалась им помочь.	0.6515
她由一进门，嘴便开了河，直说得李太太的脑子里象转疯了的留声机片，只剩了张着嘴大口的咽气。	Не успела гостья войти, как слова потекли рекой, и госпоже Ли показалось, что в голове у неё бешено завертелась граммофонная пластинка.	0.7856
张大嫂可是并非不真诚，更没有一点骄傲。	Ей ничего не оставалось, как стоять с открытым ртом и глотать воздух.	0.4769
对于乡下妇女这个名词，她更注意到后一半——妇女。	Госпожа Чжан действовала по велению сердца и ни капли но зазнавалась.	0.1754
妇女都是妇女。	Из двух слов – «деревенская женщина» – для нее важно было слово «женщина», а женщина всегда остается женщиной.	0.6364
不过“乡下”这个形容，表示出说话带口音，一切不在行，可是诚实直爽。	Определение «деревенская» говорило лишь о том, что у женщины своеобразный выговор, что она ничего не знает, но зато честна и простодушна.	0.4606
这个，只要一经张大嫂指导，乡下妇女便不久会变成一百成的漂亮小媳妇。	С помощью госпожи Чжан деревенская женщина со временем станет настоящей красавицей.	0.6335
这是自信，不是骄傲。	В этом госпожа Чжан уверена, и в ее уверенности нет и следа высокомерия.	0.5532
英和菱是一对宝贝。	Ин и Лин – сущие сокровища.	0.4578
	Госпожа Чжан тут же решила, что должна стать приемной матерью Лин.	
大嫂马上非认菱作干女儿不可，也立刻想起家中橱柜里还有一对花漆木碗，连三的抽屜里——西边那个——有一个银锁，系着一条大红珠线索子，非认干女儿不可。	Она вспомнила, что дома, в шкафу, у нее спрятаны две деревянные чашечки, покрытые красным лаком, а в левом ящике стола есть еще серебряный замочек на шелковом шнурке с нанизанными на него красными бусинками.	0.7364
	Да, Лин непременно должна стать ее приемной дочерью.	
	Тем более, что для этого есть все необходимое: и чашечки, и замочек, и приемная дочь, и приемная мать.	
现成的木碗与银锁，现成的菱，现成的大嫂，为什么不联结起来呢。	Осталось только соединить их в одно целое.	0.5290
李太太不知道说什么好，只露出牙来，没露任何意见，心里怕老李回来不愿意。	Госпожа Ли не знала, что ответить на предложение госпожи Чжан, и продолжала стоять с открытым ртом.	0.7732
	Она боялась, как бы муж не рассердился.	
大嫂看出李太太的难处。“	Видя, что она в замешательстве, госпожа Чжан сказала:	0.7064
	–Не бойся мужа!	
	Девочку ведь ты растила.	
不用管老李，女儿是你养的：来，给干娘磕头，菱！”	Лин, подойди, поклонись приемной матери!	0.8027
李太太一想，本来吗，女儿是自己的，老李反正没受过生产的苦楚；立刻叫菱磕头。	«Девочка в конце концов моя,– подумала госпожа Ли.– Не он ведь рожал».	0.8012
	И госпожа Ли велела дочери поклониться.	
菱把大拇指放在嘴内，眨巴着眼，想了一会儿；没想好主意，马马虎虎的磕了几个头。	Засунув в рот большой палец, девчушка моргала глазами и думала, но, так и не придумав ничего хорошего, стала медленно кланяться.	0.7503
磕完头心中似乎清楚了些，不觉得别的，只觉得有点骄傲，至少是应对英骄傲，因为英没有干妈，她过去拉住干妈一个手指。	Потом она что-то сообразила и заважничала.	0.6181
	Должна же она похвастаться хотя бы перед Ином, потому что у нее есть приемная мама, а у него нет!	
	У приемной мамы рука сухая-сухая.	
干妈确是干的，因为脸上笑得都皱起来，象个烤糊了的苹果，红而多皱。	А когда она смеется, то похожа на печеное яблоко, коричневое и сморщенное.	0.7613
	Ин надул губы.	
英撅了嘴，要练习练习磕头，可是没有机会。	Он тоже хотел кланяться, но никто его об этом не просил.	0.5356
	Госпожа Чжан засмеялась:	
	–Мне не нужен мальчик, мальчики такие озорные!	
大嫂笑着说，“我不要小子，小子淘气；看我这干女儿多么老实。	Посмотри, какая у меня доченька послушная!	0.6921
可是，你等着，英，赶明儿我给你说个小媳妇，要轿子娶，还是用汽车？”	А для тебя, Ин, я завтра найду маленькую невесту.	0.6774
“火车娶！”	Хочешь, чтобы ее принесли в паланкине или на машине привезли?	0.3535
英还没忘这次由乡间到北平的火车经验。	–Лучше всего на поезде!– Ин еще не забыл, как они ехали в Пекин.	0.5321
用火车娶媳妇自然无须再认干妈，于是英也不撅嘴了。	Раз у него будет невеста, которую привезут на поезде, приемная мама ни к чему!	0.6799
	Мальчик перестал сердиться.	
因提起小子淘气，大嫂把天真的历史，从满月怎么办事，一直到怎么没说停当太仆寺街齐家的姑娘，一气呵成，说得天翻地覆。	Заговорив о мальчишках, госпожа Чжан вспомнила о собственном сыне и рассказала госпоже Ли всю его историю, начиная с первого месяца [28] и до того момента, когда расстроилось его сватовство с невестой из дома Ци по улице Великой простоты.	0.5331
	Она выпалила все это одним духом и говорила так быстро, что ничего нельзя было понять.	
最后：“告诉你，大妹妹，现在的年头，养孩子可真不易呀！	Под конец она сказала:	0.4650
尤其是男孩子，坏透了！	–Знаешь, сестра, вырастить детей в наш век – дело нелегкое, особенно сыновей, беда с ними!	0.5458
	Смотри, с Лао Ли глаз не спускай!	
大妹妹，你堤防着点老李，男子从十六到六十六岁，不知哪时就出毛病。	С этими мужчинами в любом возрасте от шестнадцати и до шестидесяти шести может что угодно приключиться.	0.5816
看着他，我说，看着他！	Так что не доверяй ему; сестра, не доверяй!	0.4333
别多心，大妹妹，您是乡下人，还不知道大城里的坏处。	Ты деревенская и еще не знаешь, что такое город.	0.7282
多了，无穷无尽；男女都是狐狸精！	Здесь все мужчины и женщины – лисы-оборотни [29]!	0.7236
男的招女的，女的招男的，三言两语，得，钩搭上了。	Поухаживают друг за другом, скажут два-три слова, и готово, спелись.	0.7047
咱们这守旧的老娘们，就得对他们留点神！”	Мы, люди старой закалки, должны быть начеку!	0.7749
李太太似乎早就知道这个，不过没听张大嫂说明之前，不敢决定相信，也不敢对老李有什么布置。	Госпожа Ли давно все это знала, но не верила, не смела думать, что ее муж способен на такое.	0.8036
现在听了大嫂——况且又是菱的干娘——的一片话，心中另有一个劲儿了。	Теперь же, когда она услышала об адом от приемной матери Лин, в душе родились сомнения.	0.5904
是的，到了北平，她与丈夫是一边儿大的；老李是一家之主，即使不便否认这点，可是她的眼睛须对这一家之主留点神。	Да, здесь в Пекине они с мужем равны, и хотя он хозяин, но… надо все время следить за ним.	0.4679
	Однако госпоже Чжан она ничего не ответила, только головой кивнула.	
但是她只有点头，并没发表什么意见；谈作活计与作饭，她是在行的，到大城里来怎么管束丈夫，还不便于猛进。	Она умеет стряпать, вести хозяйство, но как в большом городе удержать мужа, не знает.	0.7850
	Нельзя действовать сгоряча.	
况且，焉知张大嫂不是来试探她呢！	А может, госпожа Чжан хочет все выведать у нее, считает ее дурой набитой!	0.5618
得留点神，你当是乡下人就那么傻瓜呢！	Надо быть похитрее.	0.4929
“待两天再来，我可该走了！	–Дня через два загляну к вам, а сейчас мне пора.	0.8193
家里撂着一大片事呢！”		
