
@ ChatGPT
Ich mag keinen Tee.	I don't like tea.
Ich trinke keinen Kaffee.	I don't drink coffee.
Ich esse kein Fleisch.	I don't eat meat.
Ich habe keine Zeit.	I have no time.

@Goodbye Lenin
Unsere datsche(f)	our holiday house
Guck mal in die Kamera 	Look at the camera
Finger weg!	Hands off
Alex, halt (halten) dich (du <-) fest! 	Alex, hold on tight!
Behutsam (осторожно) wird (pass v.) der riesige (huge) Koloss auf den (acc.) Startplatz gestellt (establish). 	Огромную махину осторожно устанавливают на стартовую площадку.
Hier erweist (erweisen) sich (<-) das Resultat der Gemeinschaftsarbeit. 	Здесь проявляется / становится очевидным результат совместной работы.
Ein Beispiel für das Wort: "Jeder liefert jedem Qualität".	A motto of the word: Everyone delivers quality to everyone.
Hier sieht man es in Vollendung. 	Here one sees in its perfect form.
Ich bin bereit	я готов
zu etwas bereit sein	ыть готовым к чему-либо
zum Flug = zu dem Flug	к полёту
mit dem Raumschiff	на / с помощью космического корабля
Ich bin zum Flug mit dem Raumschiff Sojus 31 bereit.	Я готов к полёту на космическом корабле «Союз-31».
Ich bin zum Deutschlernen bereit.	I am ready to learn German.
Am 26. August 1978 waren wir auf Weltniveau. 	26 августа 1978 года мы были на мировом уровне.
