제5장 	Часть пятая 
쥐로부터의 편지와 뒷이야기 고맙게도(정말로 고마운 일이지) 지금의 나에게는  내던져 버릴 것이 아무것도 없다네.	
이 기분은 말할 수없이  근사해.  내던질 만한 것이 있다면 그건 나 자신 정도지.	
나를 내던진다는 생각도 그다지 나쁘지 않군.	
	
1. 쥐의 첫 번째 편지	1. ПИСЬМА КРЫСЫ И ТО, ЧТО ЗА НИМИ ПОСЛЕДОВАЛО
-1977년12월21일	ПЕРВОЕ ПИСЬМО КРЫСЫ (штемпель: 21 декабря 1977 года)
소인 잘 있었나?	Ну, как дела?
벌써 꽤 오랫동안 자네를 만나지 않은 것 같은 기분이 드는군.	Давненько же мы с тобой не виделись!
도대체 몇 년 이나 됐지? 몇 년일까?	Сколько лет-то прошло?
세월에 대한 감각이 점점 둔해지고 있네.	В каком году это было?...
왠지 납작한 검은 새가 머리 위에 서 푸드득거리고 있는 것 같고, 무엇이든 셋 이상을 셀 수가 없다네.	Все хуже ориентируюсь в датах и числах.
	Кажется, будто странная черная птица мечется, хлопает крыльями над моей головой - и я никак не могу сосредоточиться и сосчитать до трех.
미안하지 만 자네가 세어 보기 바라네.	Так что извини, но лучше тебе посчитать самому.
	То, что я тогда, не сказав никому, внезапно уехал из города, наверное, и тебе доставило немало проблем.
모두에게 아무 말도 않고 거리를 뛰쳐나와 자네에게 적잖이 폐를 끼친 것 같 네.	Или, может, тебя задело, что я не сообщил об этом даже тебе?
아니면 자네에게도 말없이 떠나와 불쾌하게 생각했는지도 모르겠네.	Сколько раз уже я собирался объясниться с тобой - и не мог.
나는 몇 번이나 자네에게 변명하려고 마음먹었지만, 도저히 할 수 없었네.	Сколько писем писал - да рвал одно за другим.
꽤 많은 편지를 썼다가는 찢어 버렸지. 하지만 이것은 당연하다면 당연한 이야기여서, 내 자신에게도 제대로 설명할 수 없는 일을 하물며 남에게 설명한다는 것이 불 가능하지 않겠나.	Но, я думаю, это естественно: разве можно объяснить кому-то другому то, что не удается толком объяснить самому себе?
아마도.	Вряд ли.
	
나는 옛날부터 편지를 잘 못 썼다네.	Никогда не умел писать писем как следует.
순서가 바뀌기도 하고 정반대의 말을 잘못 사용하기도 하지. 그리고 편지를 씀으로써 오히려 혼란스러울 때도 있다 네.	То порядок мыслей с ног на голову, то доводы выводам не соответствуют, то еще что-нибудь.
게다가 나는 유머 감각이 부족하기 때문에 문장을 쓰면서 자신에게 진절머 리가 나기도 하지.	Получается, что, пытаясь изложить мысли на бумаге, я лишь еще больше запутываюсь.
	Не говоря уже о том, что мне недостает чувства юмора, и я частенько бросаю письмо, своим занудством себе же и надоев.
	Хотя, положим, человеку, умеющему как следует писать письма, нет особой надобности этим заниматься.
