4. 그녀는 솔티 독을 마시면서 파도소리에 대해서 이야기한다.	4. ОНА РАССКАЗЫВАЕТ О ШУМЕ ВОЛН, ПОТЯГИВАЯ 'СОЛТИ ДОГ'
편지를 가지고 왔습니다.' 라고 나는 말했다.	- Я привез вам письмо! - сказал я.
제게요?' 라고 그녀는 반문했다.	- Мне? - переспросила она.
	Голос в трубке был страшно далеким, телефонная линия забита помехами, говорить приходилось куда громче, чем то нужно для нормальной беседы, и оттенки интонаций терялись напрочь.
전화감이 이상하게 먼 데다가 혼선이 되어 필요 이상으로 큰소리로 말해야만 했고, 그 때문에 서로의 말에서 미묘한 뉘앙스가 상실되었다.	Как если взобраться на холм, встать под всеми ветрами и пытаться вести беседу, выкрикивая фразы в поднятые воротники пальто.
비바람이 몰아치 는 언덕 위에서 코트 깃을 세우면서 이야기하는 듯한 형편이었다.	- Вообще-то, оно адресовано мне...
사실은 저에게 보낸 편지지만, 어쩐지 댁한테 보낸 것이 아닌가 하는 느낌이 들었습니다.'	Но мне кажется, что писали именно вам!
그런 느낌이 들었다구요?'	- Ах, вам так кажется?
그렇습니다.'	- Ну да! - сказал я.
	Сказал - и сам почувствовал, в какую идиотскую ситуацию себя загоняю.
라고 나는 말했다.	Она молчала.
말해 버리고 나니 내가 너무나 우스꽝스러운 짓을 하고 있는 것 같다는 느낌이 들었다.	Помехи в трубке постепенно затихли.
잠시 그녀는 침묵을 지켰다. 그 사이에 혼선이 사라졌다. '당신과 쥐 사이에 어떤 사연이 있는지 저는 모릅니다.	- Я не знаю, какие отношения у вас были с Крысой. Я звоню, потому что он попросил меня с вами встретиться.
하지만 쥐에게서 당신 을 만나 달라는 부탁을 받았기에 전화를 한 겁니다.	А раз так, то, я думаю, вам и письмо лучше самой прочитать.
당신이 편지를 읽어보는 게 좋을 거라는 생각이 들어서요' '그것 때문에 일부러 도쿄에서 여기까지 오셨나요?'	- Так вы специально для этого приехали сюда из Токио?
그런 셈이지요.'	- Вот именно.
그녀는 기침을 하고 나서 미안하다고 말했다.	Она закашлялась, потом извинилась.
친구라서예요?'	- А вы, что, были с ним друзьями?
그렇다고 생각합니다.'	- Вроде того.
어째서 저한테 직접 쓰지 않았을까요?'	- А почему же он не написал прямо мне?
	Что говорить - в ее словах явно ощущалось больше здравого смысла.
	- Действительно, не понимаю, - ответил я искренне.
아닌게 아니라 그녀의 말이 맞았다.	- Так вот и я что-то никак не пойму.
저도 모르겠네요. 이제는 모두 다 끝나 버린 게 아닐까요?	Все, что было когда-то, давно уже кончилось.
혹은 아직 끝나 지 않은 걸까요?'	Или нет?
나도 그것은 알 수 없었다.	Этого я не знал.
나는 모르겠다고 대답했다.	Я так и сказал - не знаю.
