“有什么事，坐下说，二妹妹！	1 - Что случилось?
张大哥命令着她，然后用烟斗指着老李，”这不是外人；说吧。 “	Садись, рассказывай, сестра, - как обычно, тоном приказа произнес Чжан Дагэ. - Это человек свой, - он махнул трубкой в сторону Лао, Ли, - можешь говорить.
妇人未曾说话，泪落得很流畅。	Из глаз женщины ручьем полились слезы.
张大哥一点不着急，可是装出着急的样子，“说话呀，二妹，你看！”	Говори же, сестра, что с тобой? - сделав вид, будто очень взволнован, сказал Чжан Дагэ.
“您的二兄弟呀，”抽了一口气，“叫巡警给拿去了！	Моего мужа, - сказала, задыхаясь, женщина, - забрала полиция. - Слезы полились пуще прежнего.
这可怎么好！”	За что?
	Один человек, его фамилия Чжан, заболел дифтеритом."Вызвали мужа, - она перевела дыхание, - он его стал лечить и перелечил - больной помер.
	Муж думал… в общем, я не знаю, что он думал, но больного залечил.
泪又是三串。 “为什么呢？”	А вдруг его расстреляют? - Она зарыдала.
“苦水井姓张的，闹白喉，叫他给治——”抽气，“治死了。	Да не такое же это большое преступление, - стал успокаивать ее Чжан Дагэ.
他以为是——我也不知道他怎么治的；反正是治错了。	А засадят его года на полтора, тоже радости мало.
这可怎好，巡警要是枪毙他呢！”	Без него мы по миру пойдем.
眼泪更加流畅。	Что делать?
	Лао Ли сообразил, что женщина.недавно замужем и что Чжан Дагэ был сватом.
“还不至有那么大的罪过。”	Не успел Лао Ли об этом подумать, как женщина проговорила с мольбой:
张大哥说。	Вы наш сват.
“就是圈禁一年半载的，也受不了啊！	На вас одна надежда.
家里没人没钱，叫我怎么好！”	Вы же сосватали нас из добрых побуждений.
老李看出来，她是个新媳妇，大概张大哥是媒人。	Так будьте добрым до конца.
果然，她一边哭，一边说：“您是媒人，我就仗着您啦；自然您是为好，才给我说这门子亲，得了，您作好就作到底吧！”	«Послушать ее, - подумал Лао Ли, - так всем сватам надо содержать богадельню».
老李心里说，“依着她的辩证法，凡作媒人的还得附带立个收养所。” 张大哥更显着安坦了，好像早就承认了媒人的责任并不“止”于看姑娘上了花轿或汽车。	Но Чжан Дагэ был совершенно спокоен, как будто давно уже признал, что обязанности свата не кончаются в тот момент, когда невеста входит в свадебный паланкин или в машину.
“一切都有我呢，二妹，不用着急。”	Я все устрою, сестра, не волнуйся! - И крикнул в окно: - Эй, иди сюда!
他向窗外叫，“我说，你这儿来！”	Госпожа Чжан как раз мыла посуду.
张大嫂正洗家伙，一边擦着胡萝卜似的手指，一边往屋里来，刚一开开门，“哟，二妹妹？	Вытирая красные, как морковки, пальцы, она вошла в комнату и воскликнула: - О!
坐下呀！”	Сестра!
	Присаживайся!
二妹妹一见大嫂子，眼睛又开了河。	У женщины при виде госпожи Чжан рекой полились слезы.
“我说，给二妹弄点什么吃。” 张大哥发了命令。	Приготовь ей что-нибудь поесть! - приказал хозяин.
“我吃不下去，大哥！	Что вы, Чжан Дагэ!
我的心在嗓子眼里堵着呢，还吃？”	Мне кусок в горло не полезет!
二妹妹转向大嫂，“您瞧，大嫂子，您的二兄弟叫巡警给拿了去啦！”	Сердце разрывается от горя. - Женщина повернулась к госпоже Чжан: - Послушайте, моего мужа забрала полиция.
“哟！” 张大嫂仿佛绝对没想到巡警可以把二兄弟拿去似的，“哟！	О! - Госпожа Чжан вскрикнула, будто услыхала нечто совершенно неправдоподобное. - Что ты говоришь!
这怎会说的！	Когда же?
几儿拿去的？	За что?
怎么拿去的？ 为什么拿去的？”	«Дай им волю, - подумал Чжан Дагэ, - ночи не хватит на охи да ахи», - а вслух сказал:
张大哥看出来，要是由着她们的性儿说，大概一夜也说不完。	Не хочет есть, не надо заставлять.
他发了话：“二妹既是不吃，也就不必让了。	Как он стал врачом, сестра?
二妹，他怎么当上了医生，不是得警区考试及格吗？”	Разве он не в полицейском округе держал экзамены?
“是呀！	Да!
他托了个人情，就考上了。	Но ему там помог один человек.
	Ну и натерпелась я страху с тех пор, как он начал лечить больных, все боялась, как бы «гриба» какого-нибудь не вышло. - Несмотря на треволнения, женщина не забыла ввернуть в разговор чисто пекинское словечко. - От всех болезней он лечил гипсом. Разве это дело?
从他一挂牌，我就提心吊胆，怕出了蘑菇，”二妹妹虽是着急，可是没忘了北平的土话。	А в последний раз на радостях отвалил целых полфунта, видимо, перехватил.
“他不管什么病，永远下二两石膏，这是玩的吗？	Сколько раз ему говорила, чтобы поменьше лечил этим лекарством, лучше жимолостью.
这回他一高兴，下了半斤石膏，横是下大发了。	Но вы же знаете, какой он упрямый!
我常劝他，少下石膏，多用点金银花；您知道他的脾气，永远不听劝！	Все делал по-своему. - Гипс дешевле, - возразила госпожа Чжан.
	Чжан Дагэ кивнул, то ли соглашаясь с тем, что у арестованного упрямый характер, то ли с мнением госпожи Чжан насчет гипса.
“ “可是石膏价钱便宜呀！”	А кто помог ему на экзаменах?
	Какой-то Ван Багао из полицейского управления.
	Это ты про Ван Богао? - Оказывается, Чжан Дагэ и его хорошо знал.
张大嫂下了个实际的判断。	Верно, Ван Богао.
