2 귀의 개방에 대하여	2 РАЗБЛОКИРОВАННЫЕ УШИ
 '그 말이 맞아요' 라고 그녀는 말했다.	- Так оно и есть, - сказала она.
그녀는 비현실적이리만큼 아름다웠다.	
그 아름다움은 내가 그때까지 본 적도 없는 종류의 아름다움이었다.	Она была сверхъестественно красива.
	То была особая красота, какой мне никогда прежде не удавалось ни встретить, ни даже вообразить.
	Гигантский Космос, таясь, набухал в ней, готовый взорваться своей безграничностью, - и в то же время он был жестким и сжатым до размеров ничтожного кристаллика льда.
	Вселенная вокруг нас раздувалась в надменном величии - и тут же корчилась в робкой покорности и бессилии.
모든 것이 우주처럼 팽창하고, 그리고 동시에 모 든 것이 두꺼운 빙하 속에 응축되어 있었다.	Это превосходило все известные мне понятия и представления.
	Она и ее уши слились наконец воедино и покатились новорожденным чудом по склону пространства-времени.
모든 것이 오만하리만큼 과장되고, 그리고 동시에 모든 것이 깎여 있었다.	- Да от тебя просто с ума сойти можно!
그것은 내가 아는 범위 내의 모든 관념 을 초월하고 있었다.	- Я знаю, - сказала она.
그녀와 그녀의 귀는 일체가 되어 오래된 한 줄기 빛처럼 시간의 사면(斜面)을 미끄러져 내려갔다.	- Это и есть - состояние разблокированных ушей.
	Сразу несколько посетителей, повернув головы, заскользили по нашему столику нарочито рассеянными взглядами.
나는 간신히 한숨 돌리고 나서 '너는 굉장해' 하고 말했다. '알고 있어요.	Официант, подплывший с добавкой кофе, не смог налить его как положено.
이런 상태가 귀를 개방한 상태죠' 라고 그녀는 말했다.	Все смолкло - не было слышно ни звука.
몇 사람의 손님이 고개를 돌려, 우리 테이블 쪽을 넋 나간 듯이 바라보고 있 었다. 커피를 더 따라 주러 온 웨이터는 제대로 따르지 못했다.	Только магнитофон неторопливо шуршал бобиной, проматывая вхолостую.
아무도 입을 열지 않았다. 테이프 테크의 릴만이 계속해서 천천히 돌아가고 있었다.	Она достала из сумочки ментоловые сигареты, вытянула из пачки одну и зажала в губах.
그녀는 핸드백에서 박하 담배를 꺼내 입에 물었고, 나는 황급히 라이터로 불 을 붙였다.	Спохватившись, я торопливо поднес горящую зажигалку.
그녀가 '당신하고 자고 싶어요' 라고 말했다.	- Хочу с тобой переспать, - сказала она.
그리고 우리는 잤다.	И мы переспали.
	
3. 속(續) 귀의 개방에 대하여	3. РАЗБЛОКИРОВАННЫЕ УШИ. Продолжение
그러나 그녀에게 있어서 진실로 위대한 시대는 아직 도래하지 않았다.	Впрочем, ее настоящий звездный час еще не пробил.
	Два-три дня после этого она держала уши открытыми, затем вновь упрятала свои шедевры скульптуры за глухую стену волос ╜ и опять обернулась в простушку.
그로 부터 이틀인가 사흘 동안 잠깐잠깐씩 귀를 내놓았을 뿐, 그녀는 다시 그 빛나는 기적적인 조형물(造形物)을 머리카락 속에 숨기고, 원래의 평범한 여자아이로 되돌아가 버렸다.	Так в раннем марте прямо на улице снимают пальто 'на пробу': не тепло ли уже? - и поспешно надевают снова.
그것은 마치 3월초에 시험삼아 코트를 잠시 벗어 보는 듯한 그런 느낌이었다.	- Понимаешь, открывать уши еще не сезон, - объяснила она.
아직 귀를 내놓을 시기가 아니었어요.	- Мне пока трудно справляться с собственной силой...
아직 내 힘을 스스로도 제대로 파악할 수가 없어요' 라고 그녀는 말했다.	- Да мне, в общем, все равно, - не стал спорить я.
그녀의 말에 나는 '별로 상관없어' 라고 대꾸했다. 귀를 가린 그녀도 그런대로 나쁘지 않았기 때문이다.	Поскольку даже со спрятанными ушами она была совсем, совсем недурна.
그녀는 가끔 귀를 보여 주었는데, 대부분 섹스를 할 경우였다.	Иногда она все-таки показывала свои уши, и почти всегда это было связано с сексом.
